,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
284961,19,5,NK,NK,NK,DFW,TX,Texas,ORD,IL,Illinois,12.0,12.0,0600-0659,6.0,6.0,0800-0859,0.0,802.0
466158,3,3,AA,AA,AA,ORD,IL,Illinois,DEN,CO,Colorado,-4.0,0.0,0800-0859,-14.0,0.0,1000-1059,0.0,888.0
528815,28,7,AA,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,-4.0,0.0,0600-0659,7.0,7.0,0800-0859,0.0,802.0
489985,11,4,AA,AA,AA,MCO,FL,Florida,DFW,TX,Texas,-1.0,0.0,0800-0859,-3.0,0.0,1000-1059,0.0,985.0
206526,12,5,DL,DL,DL,LAX,CA,California,DFW,TX,Texas,21.0,21.0,0800-0859,32.0,32.0,1300-1359,0.0,1235.0
502956,22,1,AA,AA,AA,JFK,NY,New York,DFW,TX,Texas,-6.0,0.0,1400-1459,-14.0,0.0,1700-1759,0.0,1391.0
156356,19,5,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-2.0,0.0,1500-1559,-6.0,0.0,1600-1659,0.0,1199.0
399354,10,3,UA,UA,UA,DFW,TX,Texas,DEN,CO,Colorado,-7.0,0.0,1100-1159,15.0,15.0,1200-1259,0.0,641.0
389329,26,5,UA,UA,UA,DEN,CO,Colorado,MIA,FL,Florida,-2.0,0.0,1800-1859,-8.0,0.0,2300-2359,0.0,1709.0
502996,31,3,AA,AA,AA,JFK,NY,New York,MIA,FL,Florida,-1.0,0.0,0001-0559,-6.0,0.0,0800-0859,0.0,1089.0
22826,17,3,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,-1.0,0.0,1700-1759,13.0,13.0,1900-1959,0.0,1199.0
485879,30,2,AA,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,-6.0,0.0,1200-1259,-16.0,0.0,1400-1459,0.0,802.0
235712,5,5,F9,F9,F9,MIA,FL,Florida,ATL,GA,Georgia,-10.0,0.0,2100-2159,-15.0,0.0,2300-2359,0.0,594.0
400171,24,3,UA,UA,UA,CLT,NC,North Carolina,ORD,IL,Illinois,64.0,64.0,1700-1759,50.0,50.0,1800-1859,0.0,599.0
505409,18,4,AA,AA,AA,DFW,TX,Texas,LAS,NV,Nevada,-6.0,0.0,0800-0859,-13.0,0.0,0900-0959,0.0,1055.0
287678,8,1,NK,NK,NK,LAX,CA,California,LAS,NV,Nevada,-2.0,0.0,0700-0759,-10.0,0.0,0800-0859,0.0,236.0
157153,27,6,DL,DL,DL,LAS,NV,Nevada,ATL,GA,Georgia,-1.0,0.0,1200-1259,23.0,23.0,1900-1959,0.0,1747.0
456755,24,3,AA,AA,AA,LAX,CA,California,MIA,FL,Florida,0.0,0.0,0800-0859,16.0,16.0,1500-1559,0.0,2342.0
287078,18,4,NK,NK,NK,MIA,FL,Florida,ORD,IL,Illinois,-7.0,0.0,1400-1459,-9.0,0.0,1600-1659,0.0,1197.0
492942,1,1,AA,AA,AA,LAX,CA,California,DFW,TX,Texas,-6.0,0.0,0700-0759,-10.0,0.0,1200-1259,0.0,1235.0
370997,30,2,UA,UA,UA,DEN,CO,Colorado,LAX,CA,California,-6.0,0.0,1900-1959,-17.0,0.0,2100-2159,0.0,862.0
208325,21,7,DL,DL,DL,MCO,FL,Florida,JFK,NY,New York,0.0,0.0,0600-0659,-8.0,0.0,0900-0959,0.0,944.0
505411,20,6,AA,AA,AA,DFW,TX,Texas,LAS,NV,Nevada,31.0,31.0,0800-0859,18.0,18.0,0900-0959,0.0,1055.0
280339,17,3,NK,NK,NK,DFW,TX,Texas,MCO,FL,Florida,-1.0,0.0,1000-1059,-9.0,0.0,1300-1359,0.0,985.0
524159,16,2,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,22.0,22.0,1900-1959,26.0,26.0,2000-2059,0.0,641.0
464796,17,3,AA,AA,AA,JFK,NY,New York,MIA,FL,Florida,89.0,89.0,0700-0759,91.0,91.0,1000-1059,0.0,1089.0
474209,18,4,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,-6.0,0.0,0001-0559,-37.0,0.0,0800-0859,0.0,641.0
187873,20,6,DL,DL,DL,DEN,CO,Colorado,LAX,CA,California,-8.0,0.0,1900-1959,-24.0,0.0,2100-2159,0.0,862.0
424694,4,4,UA,UA,UA,DEN,CO,Colorado,LAX,CA,California,5.0,5.0,1700-1759,2.0,2.0,1800-1859,0.0,862.0
112147,16,2,WN,WN,WN,LAX,CA,California,LAS,NV,Nevada,-3.0,0.0,0700-0759,-2.0,0.0,0800-0859,0.0,236.0
