DayofMonth,IATA_Code_Marketing_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,CRSDepTime,DepTime,DepDelay,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,ArrTime,ArrDelay,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Div1Airport
1,AA,AA,DFW,TX,Texas,LAS,NV,Nevada,1446,1446,0,1400-1459,14,1500,1526,6,1532,-13,1500-1559,0,,0,179,166,146,1,1055,,,,,,
1,AA,AA,LAS,NV,Nevada,DFW,TX,Texas,1637,1627,-10,1600-1659,13,1640,2046,6,2052,-28,2100-2159,0,,0,163,145,126,1,1055,,,,,,
1,AA,AA,LAX,CA,California,LAS,NV,Nevada,1200,1223,23,1200-1259,15,1238,1320,8,1328,17,1300-1359,0,,0,71,65,42,1,236,17,0,0,0,0,
1,AA,AA,DFW,TX,Texas,LAS,NV,Nevada,2159,2157,-2,2100-2159,10,2207,2230,6,2236,-21,2200-2259,0,,0,178,159,143,1,1055,,,,,,
1,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,2016,2032,16,2000-2059,11,2043,2134,13,2147,3,2100-2159,0,,0,148,135,111,1,731,,,,,,
1,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,1620,1654,34,1600-1659,17,1711,1941,5,1946,25,1900-1959,0,,0,121,112,90,1,731,25,0,0,0,0,
1,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,2121,2149,28,2100-2159,14,2203,2258,24,2322,16,2300-2359,0,,0,225,213,175,1,1337,3,0,0,0,13,
1,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,1459,1455,-4,1400-1459,18,1513,1708,9,1717,-6,1700-1759,0,,0,144,142,115,1,802,,,,,,
1,AA,AA,LAS,NV,Nevada,ORD,IL,Illinois,1815,1822,7,1800-1859,24,1846,2356,8,4,11,2300-2359,0,,0,218,222,190,1,1514,,,,,,
1,AA,AA,ORD,IL,Illinois,LAS,NV,Nevada,1525,1515,-10,1500-1559,42,1557,1718,10,1728,3,1700-1759,0,,0,240,253,201,1,1514,,,,,,
1,AA,AA,DFW,TX,Texas,LAX,CA,California,1635,1633,-2,1600-1659,15,1648,1731,14,1745,-21,1800-1859,0,,0,211,192,163,1,1235,,,,,,
1,AS,AS,LAX,CA,California,LAS,NV,Nevada,700,651,-9,0700-0759,25,716,759,8,807,-13,0800-0859,0,,0,80,76,43,1,236,,,,,,
1,AS,AS,LAS,NV,Nevada,LAX,CA,California,915,905,-10,0900-0959,31,936,1016,35,1051,11,1000-1059,0,,0,85,106,40,1,236,,,,,,
1,AA,OO,DEN,CO,Colorado,LAX,CA,California,710,703,-7,0700-0759,36,739,844,9,853,-16,0900-0959,0,,0,179,170,125,1,862,,,,,,
1,AA,OO,LAX,CA,California,DEN,CO,Colorado,800,754,-6,0800-0859,14,808,1109,7,1116,-16,1100-1159,0,,0,152,142,121,1,862,,,,,,
1,AA,OO,DEN,CO,Colorado,LAX,CA,California,1205,1157,-8,1200-1259,17,1214,1315,7,1322,-32,1300-1359,0,,0,169,145,121,1,862,,,,,,
1,AA,OO,LAX,CA,California,DEN,CO,Colorado,1911,1908,-3,1900-1959,13,1921,2219,24,2243,5,2200-2259,0,,0,147,155,118,1,862,,,,,,
1,DL,9E,CLT,NC,North Carolina,ATL,GA,Georgia,1721,1716,-5,1700-1759,20,1736,1820,14,1834,-18,1800-1859,0,,0,91,78,44,1,226,,,,,,
1,DL,9E,ATL,GA,Georgia,CLT,NC,North Carolina,1510,1505,-5,1500-1559,19,1524,1605,5,1610,-14,1600-1659,0,,0,74,65,41,1,226,,,,,,
1,DL,9E,JFK,NY,New York,CLT,NC,North Carolina,1642,1637,-5,1600-1659,22,1659,1822,12,1834,-24,1800-1859,0,,0,136,117,83,1,541,,,,,,
1,NK,NK,ATL,GA,Georgia,MCO,FL,Florida,2250,2316,26,2200-2259,12,2328,22,21,43,14,0001-0559,0,,0,99,87,54,1,404,,,,,,
1,NK,NK,CLT,NC,North Carolina,MCO,FL,Florida,2110,2134,24,2100-2159,22,2156,2306,22,2328,11,2300-2359,0,,0,127,114,70,1,468,,,,,,
1,NK,NK,CLT,NC,North Carolina,MIA,FL,Florida,1143,1202,19,1100-1159,16,1218,1353,10,1403,10,1300-1359,0,,0,130,121,95,1,650,,,,,,
1,NK,NK,LAS,NV,Nevada,DEN,CO,Colorado,1902,1918,16,1900-1959,12,1930,2158,12,2210,12,2100-2159,0,,0,116,112,88,1,628,,,,,,
1,NK,NK,DEN,CO,Colorado,LAS,NV,Nevada,1140,1218,38,1100-1159,1,1219,1245,6,1251,9,1200-1259,0,,0,122,93,86,1,628,,,,,,
1,NK,NK,MCO,FL,Florida,DFW,TX,Texas,2102,2132,30,2100-2159,13,2145,2313,9,2322,12,2300-2359,0,,0,188,170,148,1,985,,,,,,
1,NK,NK,DFW,TX,Texas,LAX,CA,California,1859,1920,21,1800-1859,22,1942,2025,4,2029,-5,2000-2059,0,,0,215,189,163,1,1235,,,,,,
1,NK,NK,LAX,CA,California,ATL,GA,Georgia,1146,1209,23,1100-1159,15,1224,1903,7,1910,5,1900-1959,0,,0,259,241,219,1,1947,,,,,,
1,DL,DL,MCO,FL,Florida,ATL,GA,Georgia,1829,1827,-2,1800-1859,26,1853,2000,63,2103,51,2000-2059,0,,0,103,156,67,1,404,0,0,51,0,0,
1,DL,DL,ATL,GA,Georgia,MIA,FL,Florida,940,935,-5,0900-0959,18,953,1117,38,1155,20,1100-1159,0,,0,115,140,84,1,594,0,0,20,0,0,
1,DL,DL,ATL,GA,Georgia,MIA,FL,Florida,1032,1034,2,1000-1059,19,1053,1222,26,1248,18,1200-1259,0,,0,118,134,89,1,594,0,0,18,0,0,
1,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,1803,1817,14,1800-1859,22,1839,2013,53,2106,57,2000-2059,0,,0,126,169,94,1,594,0,0,57,0,0,
1,DL,DL,JFK,NY,New York,MIA,FL,Florida,1110,1110,0,1100-1159,23,1133,1409,42,1451,33,1400-1459,0,,0,188,221,156,1,1089,0,0,33,0,0,
1,DL,DL,MIA,FL,Florida,JFK,NY,New York,1159,1206,7,1100-1159,71,1317,1531,11,1542,34,1500-1559,0,,0,189,216,134,1,1089,0,0,34,0,0,
1,DL,DL,JFK,NY,New York,MIA,FL,Florida,1510,1522,12,1500-1559,19,1541,1842,33,1915,55,1800-1859,0,,0,190,233,181,1,1089,12,0,43,0,0,
1,DL,DL,MCO,FL,Florida,LAX,CA,California,600,607,7,0600-0659,28,635,858,12,910,20,0800-0859,0,,0,350,363,323,1,2218,7,0,13,0,0,
1,DL,DL,LAX,CA,California,JFK,NY,New York,925,923,-2,0900-0959,43,1006,1800,14,1814,26,1700-1759,0,,0,323,351,294,1,2475,0,0,26,0,0,
1,DL,DL,LAX,CA,California,JFK,NY,New York,2140,2154,14,2100-2159,22,2216,607,9,616,16,0600-0659,0,,0,320,322,291,1,2475,14,0,2,0,0,
1,DL,DL,MIA,FL,Florida,LAX,CA,California,750,800,10,0700-0759,39,839,1103,10,1113,28,1000-1059,0,,0,355,373,324,1,2342,10,0,18,0,0,
1,DL,DL,LAX,CA,California,MIA,FL,Florida,925,922,-3,0900-0959,27,949,1701,58,1759,31,1700-1759,0,,0,303,337,252,1,2342,0,0,31,0,0,
1,NK,NK,MCO,FL,Florida,ATL,GA,Georgia,2255,2254,-1,2200-2259,11,2305,9,53,102,17,0001-0559,0,,0,110,128,64,1,404,0,0,17,0,0,
1,NK,NK,LAS,NV,Nevada,DEN,CO,Colorado,805,755,-10,0800-0859,15,810,1038,45,1123,33,1000-1059,0,,0,105,148,88,1,628,0,0,33,0,0,
