,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
220942,16,2,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,27.0,27.0,1100-1159,20.0,20.0,1400-1459,0.0,731.0
386167,28,7,UA,UA,ATL,GA,Georgia,ORD,IL,Illinois,0.0,0.0,1500-1559,-9.0,0.0,1600-1659,0.0,606.0
468200,30,2,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,22.0,22.0,1000-1059,12.0,12.0,1400-1459,0.0,936.0
468278,22,1,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,6.0,6.0,1500-1559,-2.0,0.0,1700-1759,0.0,936.0
501992,9,2,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,-7.0,0.0,0700-0759,3.0,3.0,1000-1059,0.0,936.0
105038,8,1,WN,WN,DEN,CO,Colorado,ATL,GA,Georgia,1.0,1.0,0001-0559,20.0,20.0,1000-1059,0.0,1199.0
5890,3,3,UA,YV,DFW,TX,Texas,DEN,CO,Colorado,-4.0,0.0,0001-0559,-23.0,0.0,0700-0759,0.0,641.0
376403,16,2,UA,UA,CLT,NC,North Carolina,ORD,IL,Illinois,83.0,83.0,1300-1359,69.0,69.0,1400-1459,0.0,599.0
156653,26,5,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-3.0,0.0,1300-1359,-17.0,0.0,1400-1459,0.0,1199.0
274658,20,6,NK,NK,ATL,GA,Georgia,DFW,TX,Texas,-2.0,0.0,2100-2159,-7.0,0.0,2200-2259,0.0,731.0
209594,29,1,DL,DL,ORD,IL,Illinois,ATL,GA,Georgia,0.0,0.0,1300-1359,-12.0,0.0,1600-1659,0.0,606.0
226834,30,2,F9,F9,ATL,GA,Georgia,ORD,IL,Illinois,-5.0,0.0,0001-0559,2.0,2.0,0600-0659,0.0,606.0
473879,6,6,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,6.0,6.0,1900-1959,8.0,8.0,2100-2159,0.0,936.0
466150,26,5,AA,AA,DEN,CO,Colorado,ORD,IL,Illinois,19.0,19.0,1000-1059,23.0,23.0,1400-1459,0.0,888.0
500719,13,6,AA,AA,DEN,CO,Colorado,CLT,NC,North Carolina,1.0,1.0,0600-0659,,,1100-1159,0.0,1337.0
414755,20,6,UA,UA,ORD,IL,Illinois,DEN,CO,Colorado,-4.0,0.0,0700-0759,-13.0,0.0,0800-0859,0.0,888.0
528300,5,5,AA,AA,ATL,GA,Georgia,ORD,IL,Illinois,-1.0,0.0,1100-1159,-18.0,0.0,1200-1259,0.0,606.0
495412,25,4,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,-2.0,0.0,0700-0759,-9.0,0.0,0800-0859,0.0,599.0
525435,8,1,AA,AA,ORD,IL,Illinois,CLT,NC,North Carolina,-6.0,0.0,1300-1359,-27.0,0.0,1600-1659,0.0,599.0
505123,19,5,AA,AA,CLT,NC,North Carolina,ATL,GA,Georgia,4.0,4.0,1800-1859,5.0,5.0,1900-1959,0.0,226.0
149671,6,6,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,244.0,244.0,1600-1659,254.0,254.0,1900-1959,0.0,731.0
495407,20,6,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,-3.0,0.0,0700-0759,-15.0,0.0,0800-0859,0.0,599.0
505722,15,1,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,7.0,7.0,0700-0759,27.0,27.0,0900-0959,0.0,936.0
226837,2,2,F9,F9,ORD,IL,Illinois,ATL,GA,Georgia,-6.0,0.0,1800-1859,-14.0,0.0,2100-2159,0.0,606.0
462956,28,7,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,-7.0,0.0,0700-0759,-24.0,0.0,1000-1059,0.0,641.0
412483,6,6,UA,UA,DEN,CO,Colorado,ORD,IL,Illinois,-1.0,0.0,1100-1159,-7.0,0.0,1400-1459,0.0,888.0
275741,27,6,NK,NK,DFW,TX,Texas,CLT,NC,North Carolina,-5.0,0.0,0800-0859,-6.0,0.0,1200-1259,0.0,936.0
217908,16,2,DL,DL,ATL,GA,Georgia,CLT,NC,North Carolina,221.0,221.0,1500-1559,200.0,200.0,1700-1759,0.0,226.0
210637,16,2,DL,DL,ORD,IL,Illinois,ATL,GA,Georgia,51.0,51.0,0900-0959,47.0,47.0,1200-1259,0.0,606.0
417009,19,5,UA,UA,ORD,IL,Illinois,ATL,GA,Georgia,18.0,18.0,1700-1759,-3.0,0.0,2100-2159,0.0,606.0
470900,1,1,AA,AA,ORD,IL,Illinois,DFW,TX,Texas,-2.0,0.0,1700-1759,-12.0,0.0,1900-1959,0.0,802.0
156706,5,5,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-5.0,0.0,0700-0759,-20.0,0.0,1000-1059,0.0,731.0
190126,15,1,DL,DL,ATL,GA,Georgia,ORD,IL,Illinois,0.0,0.0,1800-1859,16.0,16.0,1900-1959,0.0,606.0
175719,13,6,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-3.0,0.0,1100-1159,54.0,54.0,1300-1359,0.0,1199.0
151284,16,2,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-8.0,0.0,0800-0859,2.0,2.0,0900-0959,0.0,1199.0
426039,3,3,UA,UA,CLT,NC,North Carolina,DEN,CO,Colorado,0.0,0.0,1600-1659,-27.0,0.0,1700-1759,0.0,1337.0
380040,14,7,UA,UA,ORD,IL,Illinois,ATL,GA,Georgia,12.0,12.0,0700-0759,-7.0,0.0,1000-1059,0.0,606.0
481417,31,3,AA,AA,CLT,NC,North Carolina,ATL,GA,Georgia,-8.0,0.0,2200-2259,-23.0,0.0,0001-0559,0.0,226.0
500767,3,3,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,-4.0,0.0,0001-0559,-14.0,0.0,0800-0859,0.0,936.0
419182,17,3,UA,UA,ORD,IL,Illinois,DEN,CO,Colorado,19.0,19.0,1600-1659,11.0,11.0,1700-1759,0.0,888.0
236224,22,1,F9,F9,DFW,TX,Texas,DEN,CO,Colorado,19.0,19.0,1500-1559,-12.0,0.0,1600-1659,0.0,641.0
529581,8,1,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,18.0,18.0,2000-2059,-5.0,0.0,2200-2259,0.0,1337.0
152066,15,1,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,45.0,45.0,1500-1559,43.0,43.0,1600-1659,0.0,731.0
