,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
556392,23,2,AS,AS,BRW,AK,Alaska,ANC,AK,Alaska,,,1700-1759,,,1900-1959,1.0,725.0
566105,27,6,AS,QX,ANC,AK,Alaska,DLG,AK,Alaska,42.0,42.0,1000-1059,43.0,43.0,1100-1159,0.0,329.0
246847,5,5,G4,G4,SWF,NY,New York,PGD,FL,Florida,-16.0,0.0,1100-1159,-34.0,0.0,1400-1459,0.0,1101.0
339931,30,2,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-3.0,0.0,1800-1859,-8.0,0.0,1900-1959,0.0,283.0
412220,7,7,UA,UA,GUM,TT,U.S. Pacific Trust Territories and Possessions,SPN,TT,U.S. Pacific Trust Territories and Possessions,-13.0,0.0,0800-0859,-18.0,0.0,0800-0859,0.0,129.0
245384,2,2,G4,G4,AZA,AZ,Arizona,TOL,OH,Ohio,15.0,15.0,0600-0659,20.0,20.0,1200-1259,0.0,1625.0
323687,7,7,UA,OO,DEN,CO,Colorado,LBL,KS,Kansas,-2.0,0.0,1500-1559,-11.0,0.0,1700-1759,0.0,280.0
404697,22,1,UA,UA,GUM,TT,U.S. Pacific Trust Territories and Possessions,SPN,TT,U.S. Pacific Trust Territories and Possessions,-12.0,0.0,0800-0859,-21.0,0.0,0800-0859,0.0,129.0
566258,28,7,AS,QX,ANC,AK,Alaska,AKN,AK,Alaska,-6.0,0.0,1500-1559,22.0,22.0,1600-1659,0.0,288.0
321531,21,7,UA,OO,OTH,OR,Oregon,SFO,CA,California,5.0,5.0,1300-1359,3.0,3.0,1500-1559,0.0,412.0
239386,8,1,G4,G4,SFB,FL,Florida,IAG,NY,New York,-5.0,0.0,0700-0759,-17.0,0.0,1000-1059,0.0,996.0
241556,22,1,G4,G4,PGD,FL,Florida,IAG,NY,New York,-14.0,0.0,0700-0759,-26.0,0.0,1000-1059,0.0,1129.0
453314,26,5,DL,9E,DTW,MI,Michigan,BGM,NY,New York,,,2100-2159,,,2200-2259,1.0,378.0
560741,31,3,AS,AS,BRW,AK,Alaska,ANC,AK,Alaska,269.0,269.0,1700-1759,273.0,273.0,1900-1959,0.0,725.0
243794,1,1,G4,G4,SMX,CA,California,LAS,NV,Nevada,98.0,98.0,1400-1459,92.0,92.0,1500-1559,0.0,310.0
338847,31,3,UA,OO,OTH,OR,Oregon,SFO,CA,California,0.0,0.0,1300-1359,12.0,12.0,1500-1559,0.0,412.0
321241,29,1,UA,OO,OTH,OR,Oregon,SFO,CA,California,-9.0,0.0,1300-1359,-28.0,0.0,1500-1559,0.0,412.0
238519,3,3,G4,G4,SWF,NY,New York,PIE,FL,Florida,25.0,25.0,1100-1159,9.0,9.0,1400-1459,0.0,1055.0
244607,2,2,G4,G4,STC,MN,Minnesota,AZA,AZ,Arizona,115.0,115.0,1900-1959,68.0,68.0,2200-2259,0.0,1259.0
