,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
470621,7,7,AA,AA,AA,DFW,TX,Texas,STL,MO,Missouri,5.0,5.0,1400-1459,0.0,0.0,1600-1659,0.0,550.0
439667,30,2,DL,9E,9E,ATL,GA,Georgia,EYW,FL,Florida,-5.0,0.0,1700-1759,-11.0,0.0,1900-1959,0.0,646.0
181755,2,2,DL,DL,DL,ATL,GA,Georgia,IAH,TX,Texas,0.0,0.0,2200-2259,-1.0,0.0,2300-2359,0.0,689.0
489678,15,1,AA,AA,AA,MSP,MN,Minnesota,DFW,TX,Texas,80.0,80.0,1800-1859,84.0,84.0,2100-2159,0.0,852.0
269526,14,7,AA,MQ,MQ,DFW,TX,Texas,AVL,NC,North Carolina,-3.0,0.0,1300-1359,-19.0,0.0,1600-1659,0.0,848.0
150600,2,2,DL,DL,DL,ATL,GA,Georgia,SFO,CA,California,-5.0,0.0,1000-1059,-27.0,0.0,1200-1259,0.0,2139.0
190799,1,1,DL,DL,DL,MCI,MO,Missouri,ATL,GA,Georgia,-3.0,0.0,1200-1259,-20.0,0.0,1500-1559,0.0,692.0
149722,26,5,DL,DL,DL,MEM,TN,Tennessee,ATL,GA,Georgia,-7.0,0.0,1100-1159,-7.0,0.0,1300-1359,0.0,332.0
215232,21,7,DL,DL,DL,PBI,FL,Florida,ATL,GA,Georgia,-8.0,0.0,1900-1959,-9.0,0.0,2100-2159,0.0,545.0
223834,31,3,DL,DL,DL,ATL,GA,Georgia,TPA,FL,Florida,-7.0,0.0,1600-1659,-12.0,0.0,1700-1759,0.0,406.0
299961,13,6,AA,OH,OH,DFW,TX,Texas,BTR,LA,Louisiana,-4.0,0.0,1900-1959,-8.0,0.0,2000-2059,0.0,383.0
405346,21,7,UA,UA,UA,DEN,CO,Colorado,DTW,MI,Michigan,0.0,0.0,1000-1059,-7.0,0.0,1400-1459,0.0,1123.0
151350,14,7,DL,DL,DL,ATL,GA,Georgia,PHX,AZ,Arizona,-2.0,0.0,0800-0859,9.0,9.0,1000-1059,0.0,1587.0
201040,23,2,DL,DL,DL,MSP,MN,Minnesota,ATL,GA,Georgia,-5.0,0.0,1300-1359,-14.0,0.0,1600-1659,0.0,907.0
47745,11,4,WN,WN,WN,DEN,CO,Colorado,PHX,AZ,Arizona,-3.0,0.0,2000-2059,-13.0,0.0,2200-2259,0.0,602.0
229132,21,7,F9,F9,F9,DEN,CO,Colorado,PHX,AZ,Arizona,-9.0,0.0,1200-1259,-10.0,0.0,1500-1559,0.0,602.0
484048,23,2,AA,AA,AA,DEN,CO,Colorado,CLT,NC,North Carolina,-7.0,0.0,0700-0759,-18.0,0.0,1300-1359,0.0,1337.0
484184,29,1,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,6.0,6.0,1200-1259,0.0,0.0,1500-1559,0.0,731.0
376673,16,2,UA,UA,UA,CID,IA,Iowa,DEN,CO,Colorado,21.0,21.0,0800-0859,11.0,11.0,1000-1059,0.0,692.0
156268,30,2,DL,DL,DL,SAV,GA,Georgia,ATL,GA,Georgia,-8.0,0.0,1700-1759,-18.0,0.0,1900-1959,0.0,214.0
160918,17,3,DL,DL,DL,MSP,MN,Minnesota,DFW,TX,Texas,-5.0,0.0,0700-0759,-19.0,0.0,1000-1059,0.0,852.0
484191,5,5,AA,AA,AA,ATL,GA,Georgia,MIA,FL,Florida,9.0,9.0,1900-1959,-5.0,0.0,2100-2159,0.0,594.0
501139,26,5,AA,AA,AA,AMA,TX,Texas,DFW,TX,Texas,42.0,42.0,0600-0659,34.0,34.0,0700-0759,0.0,312.0
37275,27,6,WN,WN,WN,DEN,CO,Colorado,DSM,IA,Iowa,15.0,15.0,1600-1659,10.0,10.0,1900-1959,0.0,589.0
147747,28,7,B6,B6,B6,ATL,GA,Georgia,LGA,NY,New York,19.0,19.0,1600-1659,35.0,35.0,1800-1859,0.0,762.0
504335,20,6,AA,AA,AA,IAH,TX,Texas,DFW,TX,Texas,-7.0,0.0,0600-0659,-17.0,0.0,0800-0859,0.0,224.0
72860,5,5,WN,WN,WN,PHX,AZ,Arizona,DEN,CO,Colorado,-2.0,0.0,0900-0959,-13.0,0.0,1100-1159,0.0,602.0
80010,14,7,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,-5.0,0.0,0600-0659,-4.0,0.0,0700-0759,0.0,1199.0
314994,18,4,AA,OO,OO,DFW,TX,Texas,SAF,NM,New Mexico,28.0,28.0,1500-1559,11.0,11.0,1600-1659,0.0,551.0
179927,9,2,DL,DL,DL,HNL,HI,Hawaii,ATL,GA,Georgia,0.0,0.0,1600-1659,-29.0,0.0,0600-0659,0.0,4502.0
286483,11,4,NK,NK,NK,ATL,GA,Georgia,MCO,FL,Florida,5.0,5.0,0600-0659,-2.0,0.0,0800-0859,0.0,404.0
153367,11,4,DL,DL,DL,SFO,CA,California,ATL,GA,Georgia,9.0,9.0,1400-1459,-14.0,0.0,2100-2159,0.0,2139.0
